1007;556,185,70,100,550,316,69,98,608,442,33,34,;0.9963268637657166,0.9994699358940125,0.9977425336837769,;0,0,1,
1008;555,179,65,99,543,309,71,101,601,435,40,33,;0.9844195246696472,0.9947547912597656,0.9968357682228088,;0,0,1,
1009;549,167,67,105,541,303,71,103,597,434,36,31,;0.9847500324249268,0.9919012784957886,0.9924557209014893,;0,0,1,
1010;544,160,69,101,538,295,68,111,593,429,38,34,;0.9808701872825623,0.9943487048149109,0.9959725737571716,;0,0,1,
1011;539,149,72,108,529,287,73,111,589,422,36,38,;0.9929062128067017,0.9981427192687988,0.9966389536857605,;0,0,1,
1012;529,138,74,112,521,279,77,119,585,420,40,34,;0.9558007121086121,0.9964512586593628,0.9953283667564392,;0,0,1,
1013;522,129,81,116,518,271,77,125,576,415,41,34,;0.9953214526176453,0.9988280534744263,0.997859537601471,;0,0,1,
1014;520,118,74,115,516,270,75,112,572,407,42,38,;0.9090190529823303,0.9890176653862,0.9982458353042603,;0,0,1,
1015;516,105,75,121,509,264,72,111,567,400,42,46,;0.968215823173523,0.9978687167167664,0.9853578209877014,;0,0,1,
1016;511,240,70,134,509,100,79,114,506,250,73,117,565,400,41,36,;0.9717093110084534,0.8213784694671631,0.982842743396759,0.990128755569458,;0,0,0,1,
1017;505,84,87,117,498,231,79,137,501,82,80,128,493,235,74,141,557,390,47,43,;0.9961981773376465,0.9885860681533813,0.9376074075698853,0.9910184741020203,0.9667085409164429,;0,0,0,0,1,
1018;496,75,91,120,489,206,80,176,485,221,84,151,550,388,50,41,;0.9994856715202332,0.8458343148231506,0.9906712770462036,0.9984253644943237,;0,0,0,1,
1019;484,53,99,132,479,211,87,145,481,58,86,126,476,215,89,140,544,379,48,45,;0.9994532465934753,0.9828905463218689,0.9652488231658936,0.975446343421936,0.9992647171020508,;0,0,0,0,1,
1020;473,46,104,117,460,204,107,135,478,38,84,136,472,201,92,150,537,374,50,43,;0.9998657703399658,0.9759104251861572,0.9432164430618286,0.8173455595970154,0.9954270720481873,;0,0,0,0,1,
1021;460,31,105,120,463,206,84,122,462,24,101,135,534,367,49,43,;0.9998210668563843,0.9577618837356567,0.8805229067802429,0.9960750937461853,;0,0,0,1,
1022;444,16,119,126,458,194,83,125,526,360,48,44,;0.999070405960083,0.9439449906349182,0.998230516910553,;0,0,1,
