853:distance error all: 0.010971000000000064;distance error:0.0009950000000000792
858:distance error all: 0.00997199999999987;distance error:0.0009980000000000544
863:distance error all: 0.022938000000000347;distance error:0.009968000000000199
868:distance error all: 0.009973999999999705;distance error:0.0009969999999999146
873:distance error all: 0.00997300000000001;distance error:0.0009969999999999146
876:distance error all: 0.01595600000000008;distance error:0.006978000000000151
881:distance error all: 0.0019919999999999938;distance error:0.0009969999999999146
886:distance error all: 0.011966000000000143;distance error:0.00896700000000017
891:distance error all: 0.008976000000000095;distance error:0.0009970000000003587
896:distance error all: 0.0109729999999999;distance error:0.0009980000000000544
899:distance error all: 0.014956000000000191;distance error:0.0009970000000003587
904:distance error all: 0.003988999999999798;distance error:0.0010010000000000296
909:distance error all: 0.010975000000000179;distance error:0.008979999999999766
914:distance error all: 0.0029930000000000234;distance error:0.0009980000000000544
917:distance error all: 0.003990000000000382;distance error:0.0009970000000003587
920:distance error all: 0.012966000000000477;distance error:0.0019930000000005776
923:distance error all: 0.008977000000000679;distance error:0.0
926:distance error all: 0.012963000000000058;distance error:0.0009930000000002437
929:distance error all: 0.011969999999999814;distance error:0.0009980000000000544
932:distance error all: 0.001994999999999969;distance error:0.0
935:distance error all: 0.012965999999999589;distance error:0.0009979999999991662
938:distance error all: 0.003984999999999239;distance error:0.0009959999999997748
941:distance error all: 0.01097599999999943;distance error:0.002002999999999311
944:distance error all: 0.001994999999999969;distance error:0.0
947:distance error all: 0.01097400000000004;distance error:0.007981000000000016
950:distance error all: 0.0039879999999996585;distance error:0.0009930000000002437
953:distance error all: 0.0019969999999993604;distance error:0.0
956:distance error all: 0.010970000000000368;distance error:0.007978000000000485
959:distance error all: 0.0219459999999998;distance error:0.0009959999999997748
962:distance error all: 0.001996000000000109;distance error:0.0
965:distance error all: 0.0019939999999998292;distance error:0.0
968:distance error all: 0.01097199999999976;distance error:0.0009980000000000544
971:distance error all: 0.008976000000000539;distance error:0.0
974:distance error all: 0.003989999999999938;distance error:0.0009970000000008028
977:distance error all: 0.0009990000000001942;distance error:0.0
980:distance error all: 0.014960999999999558;distance error:0.001000000000000334
