3562:jump=0all: 0.001994999999999969;jump=0:0.00.0009969999999999146
3563:jump=0all: 0.01097199999999976;jump=0:0.008976999999999790.009972999999999566
3564:jump=0all: 0.01097400000000004;jump=0:0.00199700000000024860.00897699999999979
3565:jump=0all: 0.0019929999999996895;jump=0:0.00099599999999977480.0019929999999996895
3566:jump=0all: 0.008974999999999511;jump=0:0.0069780000000001510.006978000000000151
3566:jump=0all: 0.01096999999999948;jump=0:0.00.0009930000000002437
3567:jump=0all: 0.0029889999999994643;jump=0:0.00099699999999991460.0009969999999999146
3568:jump=0all: 0.002995000000000303;jump=0:0.0019949999999999690.002990999999999744
3569:jump=0all: 0.003985999999999379;jump=0:0.0019949999999999690.0029869999999991848
3570:jump=0all: 0.002995000000000303;jump=0:0.00099900000000019420.001994999999999969
3570:jump=0all: 0.0019969999999993604;jump=0:0.00.0
3571:jump=0all: 0.009973000000000454;jump=0:0.0079779999999995970.007977999999999597
3572:jump=0all: 0.0009980000000000544;jump=0:0.00.0
3573:jump=0all: 0.016950999999999716;jump=0:0.0079779999999995970.00897400000000026
3574:jump=0all: 0.0029880000000002127;jump=0:0.0009960000000006630.001992000000000438
3574:jump=0all: 0.011966000000000143;jump=0:0.0099730000000004540.01096499999999967
3575:jump=0all: 0.0019969999999993604;jump=0:0.00100099999999958560.0019969999999993604
3576:jump=0all: 0.011972000000000094;jump=0:0.00099400000000038350.01097400000000004
3577:jump=0all: 0.011968999999999674;jump=0:0.0089759999999996510.009970999999999286
3578:jump=0all: 0.0009959999999997748;jump=0:0.00.0009959999999997748
3578:jump=0all: 0.001996000000000109;jump=0:0.00.0009930000000002437
3579:jump=0all: 0.015952999999999662;jump=0:0.0069789999999994020.008976000000000539
3580:jump=0all: 0.003989999999999938;jump=0:0.00099699999999991460.0029919999999989955
3581:jump=0all: 0.002990999999999744;jump=0:0.00099699999999991460.0019930000000005776
3582:jump=0all: 0.009974999999998957;jump=0:0.0079799999999998760.00897699999999979
3582:jump=0all: 0.003987000000000407;jump=0:0.00.001994999999999081
3583:jump=0all: 0.011925999999998993;jump=0:0.00099900000000019420.011925999999998993
3584:jump=0all: 0.002993999999999275;jump=0:0.00099799999999916620.0019939999999998292
3585:jump=0all: 0.001995000000000857;jump=0:0.00.0009969999999999146
3586:jump=0all: 0.008976000000000539;jump=0:0.0069789999999994020.006978999999999402
3586:jump=0all: 0.008980000000001098;jump=0:0.00.0010000000000012221
3587:jump=0all: 0.001979000000000397;jump=0:0.0009960000000006630.001979000000000397
3588:jump=0all: 0.01096899999999934;jump=0:0.0079789999999988480.008972999999999232
3589:jump=0all: 0.0039890000000006864;jump=0:0.00099900000000019420.001996000000000109
3590:jump=0all: 0.011965999999999255;jump=0:0.00099699999999991460.001994999999999081
3590:jump=0all: 0.0029919999999989955;jump=0:0.00099900000000019420.0009990000000001942
3591:jump=0all: 0.0019970000000011368;jump=0:0.00099699999999991460.0019970000000011368
3592:jump=0all: 0.007972999999999786;jump=0:0.0059830000000005160.006977000000000899
3593:jump=0all: 0.011967000000000283;jump=0:0.0019960000000001090.0109729999999999
3594:jump=0all: 0.001996000000000109;jump=0:0.00099800000000094260.0009980000000009426
3594:jump=0all: 0.0019939999999998292;jump=0:0.00.000994999999999635
3595:jump=0all: 0.011974000000000373;jump=0:0.00100000000000122210.002995000000000303
3596:jump=0all: 0.007977999999999597;jump=0:0.0029920000000007720.006980999999999682
3597:jump=0all: 0.009973999999999705;jump=0:0.00.009973999999999705
3597:jump=0all: 0.0009969999999999146;jump=0:0.00.0
3598:jump=0all: 0.0029850000000006816;jump=0:0.00099900000000019420.0019919999999995497
3599:jump=0all: 0.0009990000000001942;jump=0:0.00.0009990000000001942
3600:jump=0all: 0.0029959999999995546;jump=0:0.00099400000000038350.0019919999999995497
3600:jump=0all: 0.0;jump=0:0.00.0
3601:jump=0all: 0.002992000000000772;jump=0:0.00100200000000150170.0010020000000015017
3602:jump=0all: 0.0039890000000006864;jump=0:0.0009960000000006630.0019939999999998292
3602:jump=0all: 0.0009999999999994458;jump=0:0.00.0
3603:jump=0all: 0.003994000000000497;jump=0:0.00099900000000019420.0019990000000014163
3603:jump=0all: 0.007976999999998569;jump=0:0.00.0
3604:jump=0all: 0.011967000000000283;jump=0:0.0099710000000001740.010968000000000089
3604:jump=0all: 0.0009979999999991662;jump=0:0.00.0009979999999991662
3605:jump=0all: 0.009974000000001482;jump=0:0.0069790000000011790.007978000000001373
3605:jump=0all: 0.0019970000000011368;jump=0:0.00.0009969999999999146
3605:jump=0all: 0.00199899999999964;jump=0:0.00.0
3606:jump=0all: 0.001996000000000109;jump=0:0.00.0009969999999999146
3606:jump=0all: 0.001996000000000109;jump=0:0.00099699999999991460.0009969999999999146
3607:jump=0all: 0.0019969999999993604;jump=0:0.00100100000000047370.0010010000000004737
3607:jump=0all: 0.0009979999999991662;jump=0:0.00.0
3608:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3608:jump=0all: 0.0019990000000014163;jump=0:0.00.0009990000000001942
3609:jump=0all: 0.010969000000001117;jump=0:0.00099699999999991460.008971000000000728
3609:jump=0all: 0.000996000000000663;jump=0:0.0009960000000006630.000996000000000663
3610:jump=0all: 0.013961000000000112;jump=0:0.0119679999999995350.011967999999999535
3610:jump=0all: 0.0009979999999991662;jump=0:0.00.0009979999999991662
3611:jump=0all: 0.002992000000000772;jump=0:0.0009960000000006630.0019930000000005776
3611:jump=0all: 0.0009999999999994458;jump=0:0.00.0009999999999994458
3612:jump=0all: 0.008974999999999511;jump=0:0.0069809999999996820.007977999999999597
3612:jump=0all: 0.001996000000000109;jump=0:0.00.0
3613:jump=0all: 0.001995000000000857;jump=0:0.00099699999999991460.0009969999999999146
3613:jump=0all: 0.009974000000001482;jump=0:0.00099699999999991460.008977000000001567
3614:jump=0all: 0.001994999999999081;jump=0:0.00099599999999888670.0009959999999988867
3614:jump=0all: 0.002990999999999744;jump=0:0.0009949999999996350.000994999999999635
3615:jump=0all: 0.011974999999999625;jump=0:0.0099769999999992360.010973999999999151
3615:jump=0all: 0.004979999999999762;jump=0:0.00099899999999841780.0009989999999984178
3615:jump=0all: 0.011966000000001031;jump=0:0.0009960000000006630.011966000000001031
3616:jump=0all: 0.0019919999999995497;jump=0:0.0009949999999996350.0019919999999995497
3616:jump=0all: 0.0009959999999988867;jump=0:0.00.0009959999999988867
3617:jump=0all: 0.009973999999999705;jump=0:0.00099799999999916620.0019969999999993604
3617:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3618:jump=0all: 0.009973000000000454;jump=0:0.006980000000000430.007977000000000345
3618:jump=0all: 0.0009969999999999146;jump=0:0.00099699999999991460.0009969999999999146
3619:jump=0all: 0.009974999999998957;jump=0:0.0079779999999995970.008977999999999042
3619:jump=0all: 0.001991000000000298;jump=0:0.00099699999999991460.0009969999999999146
3620:jump=0all: 0.011965999999999255;jump=0:0.0089749999999995110.009969999999999146
3620:jump=0all: 0.0019850000000012358;jump=0:0.00.0009990000000001942
3621:jump=0all: 0.011966999999998507;jump=0:0.0089739999999984830.009971999999999426
3621:jump=0all: 0.002992000000000772;jump=0:0.0009960000000006630.001991000000000298
3622:jump=0all: 0.001996000000000109;jump=0:0.0009970000000016910.000997000000001691
3622:jump=0all: 0.0020289999999985042;jump=0:0.00096500000000077080.0009650000000007708
3623:jump=0all: 0.009976999999999236;jump=0:0.00.0029959999999995546
3623:jump=0all: 0.0009969999999999146;jump=0:0.00.0
3624:jump=0all: 0.011975999999998876;jump=0:0.0010029999999989770.009978999999999516
3624:jump=0all: 0.012969000000000008;jump=0:0.00100100000000047370.009975999999999985
3625:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3625:jump=0all: 0.0029940000000010514;jump=0:0.0009960000000006630.000996000000000663
3626:jump=0all: 0.0019969999999993604;jump=0:0.00.000994999999999635
3626:jump=0all: 0.001996000000000109;jump=0:0.00.0009969999999999146
3626:jump=0all: 0.008976000000000539;jump=0:0.00.0009990000000001942
3627:jump=0all: 0.0019939999999998292;jump=0:0.00099699999999991460.0009969999999999146
3627:jump=0all: 0.009966999999999615;jump=0:0.0079799999999998760.00897199999999998
3628:jump=0all: 0.014960999999999558;jump=0:0.0119690000000005630.012966999999999729
3628:jump=0all: 0.0009980000000009426;jump=0:0.00.0009980000000009426
3629:jump=0all: 0.0039879999999996585;jump=0:0.00099699999999991460.001994999999999081
3629:jump=0all: 0.003988000000001435;jump=0:0.0009960000000006630.002992000000000772
3630:jump=0all: 0.010968000000000089;jump=0:0.008971999999999980.009968999999999895
3630:jump=0all: 0.00897699999999979;jump=0:0.00.007982000000000156
3631:jump=0all: 0.0019919999999995497;jump=0:0.00099399999999860710.0009939999999986071
3631:jump=0all: 0.002995000000000303;jump=0:0.00.0009990000000001942
3632:jump=0all: 0.015952999999999662;jump=0:0.0139619999999993640.014958999999999278
3632:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3633:jump=0all: 0.011965000000000003;jump=0:0.0098969999999987120.010969999999998592
3633:jump=0all: 0.001994999999999081;jump=0:0.00.0009969999999999146
3634:jump=0all: 0.0029930000000000234;jump=0:0.00.0009979999999991662
3634:jump=0all: 0.0029930000000000234;jump=0:0.00.0009980000000009426
3635:jump=0all: 0.009973000000000454;jump=0:0.00.001994999999999081
3635:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3636:jump=0all: 0.008973000000001008;jump=0:0.0059830000000005160.006977000000000899
3636:jump=0all: 0.0009950000000014114;jump=0:0.00.0009950000000014114
3637:jump=0all: 0.01197000000000159;jump=0:0.00099500000000141140.0029940000000010514
3637:jump=0all: 0.0049829999999992935;jump=0:0.00099399999999860710.003982999999999848
3637:jump=0all: 0.0009969999999999146;jump=0:0.00.0009969999999999146
3638:jump=0all: 0.014958999999999278;jump=0:0.0119679999999995350.012966000000000477
3638:jump=0all: 0.0;jump=0:0.00.0
3639:jump=0all: 0.001996000000000109;jump=0:0.00099800000000094260.0009980000000009426
3639:jump=0all: 0.001995000000000857;jump=0:0.00.0009990000000001942
3640:jump=0all: 0.011972999999999345;jump=0:0.0099769999999992360.01097599999999943
3640:jump=0all: 0.0;jump=0:0.00.0
3641:jump=0all: 0.010967000000000837;jump=0:0.00.008973000000001008
3641:jump=0all: 0.002990999999999744;jump=0:0.00.0009959999999988867
3642:jump=0all: 0.0029930000000000234;jump=0:0.00099800000000094260.0019930000000005776
3642:jump=0all: 0.001991000000000298;jump=0:0.00.0009969999999999146
3643:jump=0all: 0.010970000000000368;jump=0:0.00099800000000094260.0019930000000005776
3643:jump=0all: 0.0009969999999999146;jump=0:0.00.0
3644:jump=0all: 0.001996000000000109;jump=0:0.00.0009969999999999146
3644:jump=0all: 0.01096599999999981;jump=0:0.0089749999999995110.008974999999999511
3645:jump=0all: 0.0019969999999993604;jump=0:0.00099799999999916620.0019969999999993604
3645:jump=0all: 0.0009969999999999146;jump=0:0.00.0
3646:jump=0all: 0.0039879999999996585;jump=0:0.00299300000000002340.0029930000000000234
3646:jump=0all: 0.007975999999999317;jump=0:0.00.007975999999999317
3647:jump=0all: 0.022933000000000092;jump=0:0.008974000000000260.010969999999998592
3647:jump=0all: 0.0009980000000009426;jump=0:0.00099800000000094260.0009980000000009426
