73811;868,602,15,19,
73812;867,602,15,17,
73813;867,602,15,19,
73814;868,603,16,17,
73815;867,602,15,18,
73816;867,603,16,17,
73817;866,603,16,17,
73818;866,601,16,19,
73819;866,602,17,18,
73820;866,602,16,18,
73821;866,602,16,18,
73822;866,602,16,18,
73823;866,602,16,18,
73824;865,601,16,18,
73825;866,601,16,19,
73826;865,601,15,18,
73827;864,600,17,19,
73828;863,600,17,19,
73829;865,600,17,19,
73830;864,600,16,19,
73831;864,600,16,19,
73832;864,600,16,19,
73833;863,600,16,19,
73834;863,599,16,19,
73835;863,599,16,19,
73836;863,599,16,19,
73837;863,599,16,19,
73838;863,599,16,19,
73839;863,598,16,20,
73840;862,598,16,19,
73841;861,598,16,19,
73842;861,598,16,19,
73843;858,596,17,21,
73844;859,596,17,21,
73845;858,596,17,21,
73846;859,596,16,21,
73847;859,596,16,20,
73848;858,596,17,20,
73849;858,597,17,19,
73850;859,596,16,20,
73851;858,596,16,20,
73852;857,595,16,21,
73853;858,596,16,20,
73854;857,594,16,22,
73855;857,595,17,21,
73856;857,595,17,20,
73857;856,594,17,21,
73858;855,595,17,20,
73859;855,594,18,21,
73860;854,594,18,21,
73861;854,593,17,22,
73862;855,594,18,21,
73863;854,593,18,21,
73864;853,593,19,21,
73865;852,591,19,23,
73866;852,591,19,23,
73867;853,592,18,22,
73868;857,592,15,22,
73869;853,592,18,22,
73870;851,592,19,21,
73871;851,592,19,21,
73872;850,591,19,22,
73873;851,591,18,22,
73874;850,589,18,24,
73875;850,589,19,24,
73876;850,590,19,22,
73877;850,590,18,22,
73878;849,589,18,22,
73879;849,589,18,22,
73880;849,588,18,23,
73881;849,587,18,24,
73882;852,587,15,23,
73883;852,587,16,23,
73884;851,587,16,23,
73885;848,587,18,23,
73886;847,587,19,23,
73887;846,587,19,23,
73888;845,585,19,24,
73889;845,585,19,24,
73890;845,586,20,23,
73891;845,585,20,24,
73892;845,585,19,23,
73893;844,585,20,24,
73894;847,584,19,25,
73895;844,584,20,24,
73896;847,584,17,24,
73897;847,583,17,25,
73898;842,583,21,24,
73899;841,583,21,24,
73900;841,582,21,25,
73901;841,582,21,25,
73902;840,582,21,24,
73903;840,581,21,25,
73904;840,581,22,25,
73905;839,580,22,26,
73906;839,580,22,26,
73907;839,580,22,26,
73908;842,579,19,27,
73909;837,579,23,26,
73910;836,579,22,25,
73911;836,578,21,26,
73912;835,578,22,26,
73913;835,577,22,27,
73914;834,577,23,26,
73915;834,576,23,27,
73916;838,576,21,28,
73917;838,575,21,28,
73918;837,575,21,28,
73919;833,575,23,27,
73920;831,574,23,28,
73921;830,574,23,27,
73922;829,574,24,27,
73923;829,573,24,27,
73924;829,573,23,27,
73925;828,572,24,28,
73926;828,572,24,28,
73927;828,571,24,29,
73928;826,571,25,28,
73929;826,570,25,29,
73930;830,570,23,30,
73931;830,569,23,30,
73932;830,569,23,30,
73933;829,568,23,31,
73934;828,568,23,30,
73935;822,568,27,29,
73936;821,567,26,30,
73937;820,567,27,29,
73938;821,566,26,30,
73939;820,565,27,30,
73940;825,565,23,32,
73941;824,564,21,31,
73942;818,564,27,30,
73943;823,563,22,32,
73944;822,563,23,31,
73945;822,562,24,32,
73946;815,562,31,32,
73947;815,561,30,32,
73948;820,560,23,33,
73949;819,560,25,33,
73950;818,559,25,34,
73951;811,559,30,32,
73952;811,558,30,33,
73953;816,557,26,34,
73954;808,557,31,33,
73955;809,556,32,34,
73956;814,555,26,35,
73957;813,555,26,35,
73958;806,554,31,34,
73959;806,554,31,34,
73960;811,553,27,35,
73961;810,549,26,39,
73962;809,551,27,36,
73963;803,551,31,35,
73964;808,550,26,36,
73965;807,549,28,37,
73966;806,547,28,38,
73967;806,547,26,38,
73968;805,547,27,37,
73969;803,546,29,38,
73970;802,545,27,38,
73971;802,544,27,39,
73972;801,544,27,38,
73973;800,543,28,39,
73974;799,542,29,39,
73975;798,541,27,40,
73976;798,540,28,40,
73977;797,539,28,40,
73978;795,539,31,40,
73979;794,538,29,41,
73980;793,537,27,40,
73981;792,536,27,41,
73982;791,535,29,42,
