332559;791,599,9,12,;[0.94574785],
332560;790,599,8,12,;[0.9440934],
332561;790,599,8,12,;[0.9137894],
332562;791,599,8,12,;[0.93029445],
332563;791,599,9,12,;[0.9286271],
332565;790,599,8,12,;[0.85099024],
332566;790,599,9,12,;[0.9179167],
332567;790,598,9,12,;[0.9135783],
332568;790,599,9,12,;[0.9557383],
332569;790,599,9,12,;[0.960362],
332570;789,600,9,13,;[0.8943444],
332571;790,599,9,13,;[0.94127405],
332572;790,599,9,13,;[0.941995],
332573;790,599,9,13,;[0.93423676],
332574;790,599,9,13,;[0.9303208],
332575;790,599,9,13,;[0.9438842],
332576;789,600,8,12,;[0.90653235],
332577;790,600,9,13,;[0.9661055],
332578;790,600,9,12,;[0.9477031],
332579;790,600,9,12,;[0.94716173],
332580;790,599,9,12,;[0.9249931],
332581;790,599,9,12,;[0.9142481],
332582;789,600,9,13,;[0.9488437],
332583;789,600,9,13,;[0.94655055],
332584;789,599,9,13,;[0.9232538],
332585;789,600,9,13,;[0.9393082],
332586;790,600,9,13,;[0.88644135],
332587;790,600,9,13,;[0.9061407],
332588;790,599,9,12,;[0.95826906],
332589;789,599,10,13,;[0.93900365],
332590;790,599,9,14,;[0.9454868],
332591;790,598,9,14,;[0.9326317],
332592;790,600,9,13,;[0.9268179],
332593;790,599,9,13,;[0.89696974],
332594;790,600,9,13,;[0.96064246],
332595;790,599,9,12,;[0.96210754],
332596;789,600,9,13,;[0.9591902],
332597;789,600,9,13,;[0.92699283],
332598;789,599,9,12,;[0.86548716],
332599;789,599,9,12,;[0.894835],
332600;788,598,10,12,;[0.8044545],
332601;790,599,9,13,;[0.9095249],
332602;788,598,10,13,;[0.9383012],
332603;788,598,10,13,;[0.9365444],
332604;788,597,10,14,;[0.91489583],
332605;788,597,11,14,;[0.8756372],
332606;788,597,10,14,;[0.9508036],
332607;788,596,10,14,;[0.93781245],
332608;788,597,10,14,;[0.95472306],
332609;788,597,10,14,;[0.9530487],
332610;788,597,11,15,;[0.9392518],
332611;788,596,10,14,;[0.940123],
332612;788,598,10,14,;[0.9621883],
332613;787,597,10,14,;[0.9616139],
332614;787,597,11,15,;[0.9606433],
332615;787,596,11,15,;[0.95701814],
332616;787,597,11,15,;[0.95168626],
332617;787,597,11,15,;[0.9624614],
332618;787,597,11,13,;[0.95908904],
332619;787,597,10,13,;[0.9561444],
332620;788,596,11,16,;[0.9628961],
332621;788,597,10,15,;[0.95684916],
332622;788,596,11,15,;[0.9689123],
332623;787,596,11,14,;[0.96411085],
332624;788,596,10,14,;[0.96626586],
332625;787,596,11,15,;[0.9695513],
332626;787,596,11,15,;[0.9616443],
332627;788,596,11,14,;[0.96163785],
332628;788,596,11,16,;[0.9491205],
332629;787,597,10,15,;[0.943411],
332630;787,596,11,15,;[0.9651414],
332631;787,597,11,14,;[0.9641671],
332632;787,597,10,15,;[0.9590651],
332633;787,597,11,15,;[0.955908],
332634;788,597,10,15,;[0.95245606],
332635;788,597,10,15,;[0.95056576],
332636;788,596,10,14,;[0.9543726],
332637;788,597,10,13,;[0.95256436],
332638;787,596,11,14,;[0.9500114],
332639;787,596,10,14,;[0.95332205],
332640;787,596,10,15,;[0.9167154],
332641;787,595,11,16,;[0.93959105],
332642;787,595,10,16,;[0.9548187],
332643;787,595,10,16,;[0.9465251],
332644;787,594,11,17,;[0.96336913],
332645;787,593,11,18,;[0.95904535],
332646;787,596,10,15,;[0.94696265],
332647;786,595,10,15,;[0.96361184],
332648;787,594,10,16,;[0.9636372],
332649;787,594,11,16,;[0.95239955],
332650;787,595,10,16,;[0.9596823],
332651;787,595,11,16,;[0.9133784],
332652;785,592,12,19,;[0.94916666],
332653;786,592,11,19,;[0.9576589],
332654;786,593,11,18,;[0.92486125],
332655;786,593,11,18,;[0.8921506],
332656;786,593,11,18,;[0.94817585],
332657;787,593,11,18,;[0.9298048],
332658;785,593,12,18,;[0.9306679],
332659;785,593,12,18,;[0.93163025],
332660;786,594,11,17,;[0.9380141],
332661;786,594,12,17,;[0.92905265],
332662;786,594,10,16,;[0.9342581],
